City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,evensk,50,RU,1581030237,67,61.95,159.23,-8.05,15.01
273,viedma,100,AR,1581030237,84,-40.81,-63.0,63.95,16.4
274,sao desiderio,85,BR,1581030237,94,-12.36,-44.97,70.84,2.39
275,ambilobe,67,MG,1581030075,90,-13.2,49.05,74.12,3.49
276,guozhen,9,CN,1581030237,88,34.37,107.36,26.31,1.66
277,havoysund,75,NO,1581030237,85,71.0,24.66,28.4,12.75
278,nelson bay,75,AU,1581030060,94,-32.72,152.15,70.0,8.05
279,bambous virieux,20,MU,1581030237,74,-20.34,57.76,78.8,6.93
280,seoul,90,KR,1581030005,62,37.57,126.98,24.8,1.12
281,acapulco,20,MX,1581029843,70,16.86,-99.89,84.2,9.17
282,tessalit,0,ML,1581030074,15,20.2,1.01,66.31,8.86
283,lubango,96,AO,1581030238,97,-14.92,13.49,60.44,4.83
284,fort nelson,75,CA,1581030013,79,58.81,-122.7,19.4,2.24
285,jardim,0,BR,1581030238,80,-21.48,-56.14,78.01,2.8
286,severo-kurilsk,100,RU,1581030064,76,50.68,156.12,12.22,21.27
287,panzhihua,0,CN,1581030238,79,26.59,101.71,37.11,0.85
288,morros,96,BR,1581030238,90,-9.45,-46.3,70.07,3.15
289,homer,40,US,1581030239,69,59.64,-151.55,35.6,5.82
290,piranhas,70,BR,1581030239,96,-16.43,-51.82,70.61,1.01
291,bowen,0,AU,1581030239,78,-20.02,148.23,86.0,5.82
292,sao joao da barra,75,BR,1581030061,83,-21.64,-41.05,78.8,4.7
293,plainfield,90,US,1581030239,93,40.62,-74.42,46.4,6.93
294,apen,75,DE,1581030239,75,53.22,7.8,42.8,1.12
295,polunochnoye,44,RU,1581030239,86,60.87,60.42,-4.22,4.59
296,xichang,85,CN,1581030239,93,27.9,102.26,28.67,2.53
297,eirunepe,95,BR,1581030239,90,-6.66,-69.87,76.24,2.44
298,pasco,90,US,1581029956,74,28.29,-82.42,81.0,28.86
299,phangnga,20,TH,1581030239,78,8.45,98.53,77.0,5.82
300,hithadhoo,30,MV,1581030029,75,-0.6,73.08,82.9,7.52
301,madhogarh,0,IN,1581030240,71,26.28,79.19,50.36,4.59
302,vestmanna,100,FO,1581030240,100,62.16,-7.17,44.6,16.11
303,tongren,100,CN,1581030240,90,27.72,109.19,36.68,4.25
304,pacific grove,1,US,1581030151,39,36.62,-121.92,71.01,8.5
305,moranbah,0,AU,1581030068,62,-22.0,148.05,83.39,7.92
306,touros,20,BR,1581030055,74,-5.2,-35.46,82.4,12.75
307,seymchan,81,RU,1581030240,91,62.88,152.43,-31.95,4.34
308,itaquyry,24,PY,1581030240,75,-24.93,-55.22,77.95,4.43
309,tura,0,IN,1581029991,52,25.52,90.22,53.22,1.48
310,mabopane,25,ZA,1581030240,82,-25.5,28.1,70.0,6.93
311,akureyri,19,IS,1581030241,65,65.68,-18.09,41.0,39.15
312,mbanza-ngungu,100,CD,1581030241,90,-5.25,14.87,71.02,1.19
313,conde,40,BR,1581030241,78,-7.26,-34.91,82.4,9.17
314,berdigestyakh,0,RU,1581030241,98,62.1,126.7,-35.18,2.48
315,constitucion,0,CL,1581030049,75,-35.33,-72.42,54.25,11.01
316,hofn,89,IS,1581030082,92,64.25,-15.21,43.02,6.93
317,fatsa,75,TR,1581030241,100,41.03,37.5,48.2,3.36
318,bubaque,1,GW,1581030241,64,11.28,-15.83,78.75,15.5
319,yulara,0,AU,1581030050,24,-25.24,130.99,78.8,10.29
320,klisura,75,BG,1581030241,68,42.7,24.45,30.2,16.11
321,yarmouth,90,US,1581030241,100,41.71,-70.23,43.0,4.7
322,plainview,90,US,1581030241,93,40.78,-73.47,43.0,12.75
323,kavaratti,52,IN,1581030082,71,10.57,72.64,79.83,15.01
324,dicabisagan,80,PH,1581030242,87,17.08,122.42,75.11,4.14
325,basco,29,PH,1581030242,82,20.45,121.97,76.8,14.61
326,atherton,0,GB,1581030242,93,53.52,-2.49,39.99,5.64
327,kargopol,100,RU,1581030242,92,61.51,38.95,10.06,9.82
328,egvekinot,0,RU,1581030242,88,66.32,-179.17,-23.01,9.51
329,ancud,75,CL,1581030076,51,-41.87,-73.82,60.8,3.36
330,graaff-reinet,100,ZA,1581030242,95,-32.25,24.53,59.0,4.0
331,itarema,86,BR,1581030065,87,-2.92,-39.92,75.76,4.59
332,luderitz,0,NA,1581030242,86,-26.65,15.16,63.34,25.03
333,wilhelmsburg,59,AT,1581030242,74,48.11,15.61,39.99,3.94
334,port hardy,90,CA,1581030242,100,50.7,-127.42,41.0,4.7
335,tuatapere,4,NZ,1581030093,63,-46.13,167.68,57.99,14.0
336,kahului,75,US,1581030067,83,20.89,-156.47,71.6,11.41
337,lebu,0,CL,1581030058,71,-37.62,-73.65,54.36,8.61
338,makokou,100,GA,1581030243,83,0.57,12.86,73.63,2.13
339,lagdo,2,CM,1581030243,23,9.05,13.73,72.99,3.22
340,aleksandrov gay,100,RU,1581030243,96,50.15,48.57,26.31,7.72
341,salto,82,UY,1581030088,54,-31.38,-57.97,91.99,7.0
342,victoria,40,HK,1581029946,77,22.29,114.16,66.0,12.75
343,shache,9,CN,1581030243,53,38.42,77.24,28.42,2.19
344,kendari,83,ID,1581030243,86,-3.94,122.5,80.4,1.45
345,swan river,77,CA,1581030017,95,52.11,-101.27,-12.17,3.53
346,bonavista,100,CA,1581029995,80,48.65,-53.11,26.01,8.01
347,salalah,20,OM,1581030243,64,17.02,54.09,71.6,3.36
348,ostrovnoy,75,RU,1581030244,76,68.05,39.51,13.3,6.98
349,kruisfontein,99,ZA,1581030081,91,-34.0,24.73,61.0,15.21
350,kavieng,27,PG,1581030046,74,-2.57,150.8,83.86,11.88
351,maine-soroa,20,NE,1581030244,13,13.21,12.02,64.56,8.41
352,misratah,33,LY,1581030244,62,32.38,15.09,56.37,15.01
353,uvat,98,RU,1581030244,94,59.14,68.9,13.46,8.93
354,montes claros,100,BR,1581030008,73,-16.73,-43.86,77.0,4.34
355,taltal,0,CL,1581030244,86,-25.4,-70.48,62.38,3.94
356,lata,75,PT,1581030244,93,40.16,-8.33,57.99,2.24
357,la libertad,32,EC,1581030244,70,-2.23,-80.9,84.2,11.41
358,iwanai,100,JP,1581030244,82,42.97,140.51,22.71,10.45
